địa đạo củ chi	 id = 192577
cửa Đại	 id = 193952
cửa Tùng	 id = 193653
BR-VT	 id = 193953
BR VT	 id = 193954
Hàng Bồ	 id = 193955
Thuốc Bắc	 id = 193956
Nhà Xanh	 id = 193957
Tây Trang	 id = 193958
Ngọc Khánh	 id = 193959
làng khoai	 id = 193960
Chôm Lôm	 id = 193961
vườn quốc gia phong nha kẻ bàng	 id = 193962
Phong Nha	 id = 193963
Phong Nha Kẻ Bàng	 id = 193964
làng rắn lệ mật	 id = 193965
thôn vườn trầu	 id = 193966
Đồng Tiến	 id = 193967
M Đrăk	 id = 193968
rạp ngọc khánh	 id = 193969
rạp dân chủ	 id = 193970
trung tâm chiếu phim quốc gia	 id = 193971
rạp tháng tám	 id = 192078
rạp đặng dung	 id = 193972
fansland	 id = 193973
trung tâm cp quốc gia	 id = 193974
TTCPQG	 id = 193975
Nam Khê	 id = 193976
Trà Cổ	 id = 193977
tháp bà ponagar	 id = 193978
sông Chu	 id = 193979
sông Cửu An	 id = 193980
sông Ninh Cơ	 id = 193981
sông Kiên Giang	 id = 193982
sông Krông Ana	 id = 193983
sông Krông H’Năng	 id = 193984
sông Krông Nô	 id = 193985
sông Càn	 id = 193986
sông Mang Thít	 id = 193987
sông Ông  Đốc	 id = 193988
Sông Mang Thít	 id = 193987
Sông Càn	 id = 193986
Sông Krông Nô	 id = 193985
Sông Krông H’Năng	 id = 193984
Sông Krông Ana	 id = 193983
Sông Kiên Giang	 id = 193982
Sông Ninh Cơ	 id = 193981
Sông Cửu An	 id = 193980
Sông Chu	 id = 193979
Nhật Tân	 id = 193989
Nghĩa Đô	 id = 193990
sông Thao	 id = 193410
hồ Ngọc Khánh	 id = 193991
hồ Ba Mẫu	 id = 193992
hồ Nam Đồng	 id = 193993
hồ Thanh Nhàn	 id = 193994
Hồ Thanh Nhàn	 id = 193994
Hồ Nam Đồng	 id = 193993
Hồ Ba Mẫu	 id = 193992
Hồ Ngọc Khánh	 id = 193991
Phù Vân	 id = 193995
Hàng Bún	 id = 193996
Hàng Bài	 id = 192621
Hàng Bè	 id = 193997
Hàng Bông	 id = 192616
Hàng Bút	 id = 193998
Hàng Cá	 id = 193999
Hàng Cân	 id = 194000
Hàng Chai	 id = 194001
Hàng Cháo	 id = 194002
Hàng Chỉ	 id = 194003
Hàng Chiếu	 id = 192633
Hàng Chĩnh	 id = 194004
Hàng Chuối	 id = 194005
Hàng Cỏ	 id = 194006
Hàng Cót	 id = 192632
Hàng Dầu	 id = 194007
Hàng Đậu	 id = 194008
Hàng Đồng	 id = 194009
Hàng Đường	 id = 194010
Hàng Gà	 id = 194011
Hàng Gai	 id = 192641
Hàng Giày	 id = 194012
Hàng Giấy	 id = 194013
Hàng Hành	 id = 194014
Hàng Hòm	 id = 194015
Hàng Hương	 id = 194016
Hàng Khay	 id = 192642
Hàng Khoai	 id = 194017
Hàng Lược	 id = 194018
Hàng Mã	 id = 194019
Hàng Mành	 id = 194020
Hàng Mắm	 id = 194021
Hàng Muối	 id = 194022
Hàng Nón	 id = 194023
Hàng Phèn	 id = 194024
Hàng Quạt	 id = 194025
Hàng Rươi	 id = 194026
Hàng Than	 id = 194027
Hàng Thiếc	 id = 194028
Hàng Thùng	 id = 194029
Hàng Thịt	 id = 194030
Hàng Tre	 id = 194031
Hàng Trống	 id = 194032
Hàng Vải	 id = 194033
Hàng Vôi	 id = 194034
Gáo Giồng	 id = 194035
Xẻo Quýt	 id = 194036
Bản Đôn	 id = 194037
tháp Rùa	 id = 193557
đền Ngọc Sơn	 id = 193361
Nậm Pung	 id = 194038
lăng chủ tịch hồ chí minh	 id = 194039
lăng Bác	 id = 194040
Lăng Bác	 id = 194040
quảng trường ba đình	 id = 194041
langbian	 id = 194042
ngã ba đồng lộc	 id = 193419
Nấm Dẩn	 id = 194043
Nậm Công	 id = 194044
Nậm Khánh	 id = 194045
Nậm Giải	 id = 194046
Nậm Phàng	 id = 194047
chùa một cột	 id = 193334
Thác Mai	 id = 194048
Thác Đa	 id = 194049
thác Bản Dốc	 id = 193600
thác Yaly	 id = 193487
cung văn hóa lao động tphcm	 id = 194050
cung văn hóa lao động tp hcm	 id = 194051
Vườn quốc gia Chàm Chim	 id = 194052
vườn quốc gia Chàm Chim	 id = 194052
nhà thi đấu trịnh hoài đức	 id = 194053
Ngõ Trạm	 id = 194054
Pháo Đài Láng	 id = 194055
Pháo đài Láng	 id = 194055
pháo đài Láng	 id = 194055
Vườn Quốc gia Cát Tiên	 id = 193869
vườn quốc gia cát bà	 id = 194056
Chư Yang Sin	 id = 194057
thủy điện bản vẽ	 id = 194058
Bản Vẽ	 id = 194059
làng sinh viên hacinco	 id = 194060
Đồng Khởi	 id = 194061
sóc bom bo	 id = 194062
sóc bombo	 id = 194063
thác pông gua	 id = 193429
Cửa Việt	 id = 194064
Thủ Dầu 1	 id = 194065
Khe Nét	 id = 194066
thành cổ hà nội	 id = 194067
Đàn Xã Tắc	 id = 194068
đàn xã tắc	 id = 194068
đàn Nam Giao	 id = 193420
đàn tế nam giao	 id = 194069
Quảng Bá	 id = 194070
Đồng Tâm	 id = 194071
làng tranh đông hồ	 id = 193502
làng đông hồ	 id = 194072
thành Cổ Loa	 id = 193541
đền bạch mã	 id = 194073
lăng Tự Đức	 id = 193411
Hòn Mun	 id = 194074
Hòn Yến	 id = 194075
Suối Nhum	 id = 194076
cầu rạch nhum	 id = 194077
Rạch Nhum	 id = 194078
Cái Nhum	 id = 194079
Rạch Chiếc	 id = 194080
cầu rạch chiếc	 id = 194081
núi Hàm Rồng	 id = 193434
Cấm Chỉ	 id = 194082
Đồng Kỵ	 id = 194083
Xuân Đỉnh	 id = 194084
vinpearland	 id = 194085
công viên thống nhất	 id = 194086
công viên lê nin	 id = 194087
phủ Tây Hồ	 id = 193475
ga hà nội	 id = 194088
ga hàng cỏ	 id = 194089
chùa Hương	 id = 193357
động hương tích	 id = 194090
Tháp Dương Long	 id = 194091
tháp Dương Long	 id = 194091
chùa Phật Tích	 id = 193356
chùa Vạn Phúc	 id = 193480
Hòa Hảo	 id = 194092
Thị Vải	 id = 194093
sông Thị Vải	 id = 194094
Sông Thị Vải	 id = 194094
sông cái mép thị vải	 id = 194095
chùa Dơi	 id = 193643
chùa Mã Tộc	 id = 193644
Hang Dơi	 id = 194096
A Dơi	 id = 194097
fansipan	 id = 194098
vườn quốc gia u minh hạ	 id = 193886
đền bà chúa kho	 id = 193642
Vĩnh Trung Plaza	 id = 194099
quốc lộ 1a	 id = 194100
quốc lộ 1 a	 id = 194101
Lạch Tray	 id = 194102
Tràng Thi	 id = 194103
khu công nghiệp đại an	 id = 194104
khu công nghiệp minh đức	 id = 194105
khu công nghiệp quế võ	 id = 194106
khu công nghiệp đông bắc sông cầu	 id = 194107
khu công nghiệp thụy vân	 id = 194108
khu công nghiệp trung hòa	 id = 194109
khu công nghiệp tam nông	 id = 194110
khu công nghiệp hòa hiệp	 id = 194111
khu công nghiệp an phú	 id = 194112
khu công nghiệp đà nẵng	 id = 194113
khu công nghiệp tây ninh	 id = 194114
khu công nghiệp thăng long	 id = 194115
khu công nghiệp trảng bàng	 id = 194116
khu kinh tế cửa khẩu mộc bài	 id = 194117
khu công nghiệp sông mây	 id = 194118
khu công nghiệp đồng nai	 id = 194119
khu công nghiệp tứ hạ	 id = 194120
khu công nghiệp phong điền	 id = 194121
khu công nghiệp tiên sơn	 id = 194122
khu công nghiệp đại đồng hoàn sơn	 id = 194123
khu công nghiệp yên phong	 id = 194124
khu công nghiệp quế võ ii	 id = 194125
khu công nghiệp yên phong ii	 id = 194126
khu công nghiệp nam sơn hạp lĩnh	 id = 194127
khu công nghiệp thuận thành i	 id = 194128
khu công nghiệp thuận thành ii	 id = 194129
khu công nghiệp đại kim	 id = 194130
khu công nghiệp thuận thành iii	 id = 194131
khu công nghiệp lâm bình	 id = 194132
khu công nghiệp gia bình	 id = 194133
khu công nghiệp tiên du	 id = 194134
cụm công nghiệp đại xuyên	 id = 194135
khu công nghiệp đình trám	 id = 194136
khu công nghiệp song khê	 id = 194137
khu công nghiệp quang châu	 id = 194138
khu công nghiệp vân trung	 id = 194139
khu công nghiệp việt hàn	 id = 194140
khu công nghiệp phú bài	 id = 194141
kcn đại an	 id = 194142
kcn minh đức	 id = 194143
kcn quế võ	 id = 194144
kcn đông bắc sông cầu	 id = 194145
kcn thụy vân	 id = 194146
kcn trung hòa	 id = 194147
kcn tam nông	 id = 194148
kcn hòa hiệp	 id = 194149
kcn an phú	 id = 194150
kcn đà nẵng	 id = 194151
kcn tây ninh	 id = 194152
kcn thăng long	 id = 194153
kcn trảng bàng	 id = 194154
kcn sông mây	 id = 194155
kcn đồng nai	 id = 194156
kcn tứ hạ	 id = 194157
kcn phong điền	 id = 194158
kcn tiên sơn	 id = 194159
kcn đại đồng hoàn sơn	 id = 194160
kcn yên phong	 id = 194161
kcn phú bài	 id = 194162
kcn việt hàn	 id = 194163
kcn vân trung	 id = 194164
kcn quang châu	 id = 194165
kcn song khê	 id = 194166
kcn đình trám	 id = 194167
kcn đại xuyên	 id = 194168
kcn tiên du	 id = 194169
kcn gia bình	 id = 194170
kcn lâm bình	 id = 194171
kcn thuận thành iii	 id = 194172
kcn đại kim	 id = 194173
kcn thuận thành ii	 id = 194174
kcn thuận thành i	 id = 194175
kcn nam sơn hạp lĩnh	 id = 194176
kcn yên phong ii	 id = 194177
kcn quế võ ii	 id = 194178
khu công nghiệp cảng biển hòn la	 id = 194179
khu công nghiệp tây bắc đồng hới	 id = 194180
khu công nghiệp bang	 id = 194181
khu công nghiệp ánh sơn	 id = 194182
khu công nghiệp tiến hóa	 id = 194183
khu công nghiệp phan thiết	 id = 194184
khu công nghiệp tuy phong	 id = 194185
khu công nghiệp tân thiện	 id = 194186
khu công nghiệp hàm kiệm	 id = 194187
khu công nghiệp liên chiểu	 id = 194188
khu công nghiệp hòa khánh	 id = 194189
khu công nghiệp hòa cầm	 id = 194190
khu công nghiệp dịch vụ thủy sản đà nẵng	 id = 194191
khu công nghiệp trà nóc i	 id = 194192
khu công nghiệp trà nóc ii	 id = 194193
khu công nghiệp hưng phú i	 id = 194194
khu công nghiệp hưng phú ii	 id = 194195
khu công nghiệp thốt nốt	 id = 194196
khu công nghiệp đình vũ	 id = 194197
khu công nghiệp nomura	 id = 194198
khu công nghiệp tam điệp	 id = 194199
khu công nghiệp ninh phúc	 id = 194200
cụm công nghiệp nam thị	 id = 194201
cụm công nghiệp ninh tiến	 id = 194202
cụm công nghiệp thiên tôn	 id = 194203
cụm công nghiệp đồng hướng	 id = 194204
cụm công nghiệp bình minh	 id = 194205
cụm công nghiệp mai sơn	 id = 194206
cụm công nghiệp kim chính	 id = 194207
cụm công nghiệp khánh cư	 id = 194208
cụm công nghiệp khánh nhạc	 id = 194209
cụm công nghiệp gián khẩu	 id = 194210
cụm công nghiệp gia sinh	 id = 194211
cụm công nghiệp gia vân	 id = 194212
cụm công nghiệp đồng phong	 id = 194213
khu công nghiệp giao long	 id = 194214
cụm công nghiệp an hiệp	 id = 194215
ccn an hiệp	 id = 194216
kcn giao long	 id = 194217
ccn đồng phong	 id = 194218
ccn gia vân	 id = 194219
ccn gia sinh	 id = 194220
ccn gián khẩu	 id = 194221
ccn khánh nhạc	 id = 194222
ccn khánh cư	 id = 194223
ccn kim chính	 id = 194224
ccn mai sơn	 id = 194225
ccn bình minh	 id = 194226
ccn đồng hướng	 id = 194227
ccn thiên tôn	 id = 194228
ccn ninh tiến	 id = 194229
ccn nam thị	 id = 194230
kcn ninh phúc	 id = 194231
kcn tam điệp	 id = 194232
kcn nomura	 id = 194233
kcn đình vũ	 id = 194234
kcn thốt nốt	 id = 194235
kcn hưng phú ii	 id = 194236
kcn hưng phú i	 id = 194237
kcn trà nóc ii	 id = 194238
kcn trà nóc i	 id = 194239
kcn dịch vụ thủy sản đà nẵng	 id = 194240
kcn hòa cầm	 id = 194241
kcn hòa khánh	 id = 194242
kcn liên chiểu	 id = 194243
kcn hàm kiệm	 id = 194244
kcn tân thiện	 id = 194245
kcn tuy phong	 id = 194246
kcn phan thiết	 id = 194247
kcn tiến hóa	 id = 194248
kcn ánh sơn	 id = 194249
kcn bang	 id = 194250
kcn tây bắc đồng hới	 id = 194251
kcn cảng biển hòn la	 id = 194252
khu công nghiệp bình long	 id = 194253
khu công nghiệp việt nam singapore	 id = 194254
khu công nghệ cao hòa lạc	 id = 194255
khu công nghiệp bình hòa	 id = 194256
kcn bình hòa	 id = 194257
kcnc hòa lạc	 id = 194258
kcn việt nam singapore	 id = 194259
kcn bình long	 id = 194260
khu cnc hòa lạc	 id = 194261
khu công nghệ cao tphcm	 id = 194262
khu công nghệ cao tp hcm	 id = 194263
khu cnc tp hcm	 id = 194264
khu cnc tphcm	 id = 194265
KCNC TPHCM	 id = 194266
KCNC TP HCM	 id = 194267
khu công nghệ cao sài gòn	 id = 194268
khu công nghệ cao sg	 id = 194269
khu cnc sg	 id = 194270
khu cnc sài gòn	 id = 194271
saigon hi tech park	 id = 194272
quốc lộ 1b	 id = 194273
quốc lộ 1c	 id = 194274
quốc lộ 2	 id = 194275
quốc lộ 2b	 id = 194276
quốc lộ 2c	 id = 194277
quốc lộ 3	 id = 194278
quốc lộ 4a	 id = 194279
quốc lộ 4b	 id = 194280
quốc lộ 4c	 id = 194281
quốc lộ 4e	 id = 194282
quốc lộ 5	 id = 194283
quốc lộ 6	 id = 194284
quốc lộ 7	 id = 194285
quốc lộ 8	 id = 194286
quốc lộ 8b	 id = 194287
quốc lộ 9	 id = 194288
quốc lộ 10	 id = 194289
quốc lộ 12	 id = 194290
quốc lộ 12a	 id = 194291
quốc lộ 12b	 id = 194292
quốc lộ 13	 id = 194293
quốc lộ 14	 id = 194294
quốc lộ 14b	 id = 194295
quốc lộ 14c	 id = 194296
quốc lộ 14d	 id = 194297
quốc lộ 14e	 id = 194298
quốc lộ 15	 id = 194299
quốc lộ 18	 id = 194300
quốc lộ 18c	 id = 194301
quốc lộ 19	 id = 194302
quốc lộ 20	 id = 194303
quốc lộ 21	 id = 194304
quốc lộ 21b	 id = 194305
quốc lộ 22	 id = 194306
quốc lộ 22b	 id = 194307
quốc lộ 23	 id = 194308
quốc lộ 24	 id = 194309
quốc lộ 24b	 id = 194310
quốc lộ 28	 id = 194311
quốc lộ 30	 id = 194312
quốc lộ 31	 id = 194313
quốc lộ 32b	 id = 194314
quốc lộ 32c	 id = 194315
quốc lộ 34	 id = 194316
quốc lộ 37	 id = 194317
quốc lộ 38	 id = 194318
quốc lộ 39	 id = 194319
quốc lộ 32	 id = 194320
quốc lộ 40	 id = 194321
quốc lộ 43	 id = 194322
quốc lộ 45	 id = 194323
quốc lộ 46	 id = 194324
quốc lộ 47	 id = 194325
quốc lộ 48	 id = 194326
quốc lộ 70	 id = 194327
quốc lộ a519	 id = 194328
quốc lộ 51	 id = 194329
quốc lộ 188	 id = 194330
quốc lộ 64	 id = 194331
quốc lộ 81	 id = 194332
quốc lộ 50	 id = 194333
quốc lộ 51b	 id = 194334
quốc lộ 63	 id = 194335
quốc lộ 56	 id = 194336
quốc lộ 61	 id = 194337
quốc lộ 91c	 id = 194338
quốc lộ 49	 id = 194339
quốc lộ 52	 id = 194340
ql52	 id = 194341
ql 52	 id = 194342
quốc lộ số 52	 id = 194343
ql49	 id = 194344
ql 49	 id = 194345
quốc lộ số 49	 id = 194346
ql91c	 id = 194347
ql 91c	 id = 194348
ql61	 id = 194349
ql 61	 id = 194350
ql56	 id = 194351
ql 56	 id = 194352
ql63	 id = 194353
ql 63	 id = 194354
ql51b	 id = 194355
ql 51b	 id = 194356
ql50	 id = 194357
ql 50	 id = 194358
ql81	 id = 194359
ql 81	 id = 194360
ql 64	 id = 194361
ql64	 id = 194362
ql188	 id = 194363
ql 188	 id = 194364
ql51	 id = 194365
ql 51	 id = 194366
qla519	 id = 194367
ql a519	 id = 194368
ql 70	 id = 194369
ql70	 id = 194370
ql48	 id = 194371
ql 48	 id = 194372
ql47	 id = 194373
ql 47	 id = 194374
ql46	 id = 194375
ql 46	 id = 194376
ql45	 id = 194377
ql 45	 id = 194378
ql43	 id = 194379
ql 43	 id = 194380
ql40	 id = 194381
ql 40	 id = 194382
ql32	 id = 194383
ql 32	 id = 194384
ql39	 id = 194385
ql 39	 id = 194386
ql38	 id = 194387
ql 38	 id = 194388
ql37	 id = 194389
ql 37	 id = 194390
ql34	 id = 194391
ql 34	 id = 194392
ql 32c	 id = 194393
ql32c	 id = 194394
ql32b	 id = 194395
ql 32b	 id = 194396
ql31	 id = 194397
ql 31	 id = 194398
ql30	 id = 194399
ql 30	 id = 194400
ql28	 id = 194401
ql 28	 id = 194402
ql 24b	 id = 194403
ql24b	 id = 194404
ql 24	 id = 194405
ql24	 id = 194406
ql 23	 id = 194407
ql23	 id = 194408
ql22b	 id = 194409
ql 22b	 id = 194410
ql 22	 id = 194411
ql22	 id = 194412
ql21b	 id = 194413
ql 21b	 id = 194414
ql21	 id = 194415
ql 21	 id = 194416
ql 20	 id = 194417
ql20	 id = 194418
ql19	 id = 194419
ql 19	 id = 194420
ql18c	 id = 194421
ql 18c	 id = 194422
ql18	 id = 194423
ql 18	 id = 194424
ql 15	 id = 194425
ql15	 id = 194426
ql1b	 id = 194427
ql 1b	 id = 194428
ql1c	 id = 194429
ql 1c	 id = 194430
ql2	 id = 194431
ql 2	 id = 194432
ql 2b	 id = 194433
ql2b	 id = 194434
ql2c	 id = 194435
ql 2c	 id = 194436
ql3	 id = 194437
ql 3	 id = 194438
ql4a	 id = 194439
ql 4a	 id = 194440
ql 4b	 id = 194441
ql4b	 id = 194442
ql4c	 id = 194443
ql 4c	 id = 194444
ql4e	 id = 194445
ql 4e	 id = 194446
ql5	 id = 194447
ql 5	 id = 194448
ql6	 id = 194449
ql 6	 id = 194450
ql7	 id = 194451
ql 7	 id = 194452
ql8	 id = 194453
ql 8	 id = 194454
ql8b	 id = 194455
ql 8b	 id = 194456
ql9	 id = 194457
ql 9	 id = 194458
ql10	 id = 194459
ql 10	 id = 194460
ql12	 id = 194461
ql 12	 id = 194462
ql12a	 id = 194463
ql 12a	 id = 194464
ql12b	 id = 194465
ql 12b	 id = 194466
ql13	 id = 194467
ql 13	 id = 194468
ql14	 id = 194469
ql 14	 id = 194470
ql14b	 id = 194471
ql 14b	 id = 194472
ql14c	 id = 194473
ql 14c	 id = 194474
ql14d	 id = 194475
ql 14d	 id = 194476
ql 14e	 id = 194477
ql14e	 id = 194478
quốc lộ 59a	 id = 194479
ql59a	 id = 194480
ql 59a	 id = 194481
khu công nghiệp lộc an	 id = 194482
khu công nghiệp long đức	 id = 194483
khu công nghiệp ông kèo	 id = 194484
khu công nghiệp long khánh	 id = 194485
khu công nghiệp giang điền	 id = 194486
khu công nghiệp dầu giây	 id = 194487
khu chế xuất tân thuận	 id = 194488
khu công nghiệp hoàng mai	 id = 194489
khu công nghiệp sông công	 id = 194490
khu công nghiệp bình định	 id = 194491
khu công nghiệp phú tài	 id = 194492
khu công nghiệp long mỹ	 id = 194493
khu công nghiệp nhơn hòa	 id = 194494
khu công nghiệp hòa hội	 id = 194495
khu công nghiệp phúc khánh	 id = 194496
khu công nghiệp nguyễn đức cảnh	 id = 194497
khu công nghiệp tiền phong	 id = 194498
khu công nghiệp tiền hải	 id = 194499
khu công nghiệp diêm điền	 id = 194500
khu công nghiệp cầu nghìn	 id = 194501
khu công nghiệp bắc vinh	 id = 194502
khu công nghiệp nam cấm	 id = 194503
khu công nghiệp cửa lò	 id = 194504
khu công nghiệp phủ quỳ	 id = 194505
khu kinh tế nghi sơn	 id = 194506
khu công nghiệp lễ môn	 id = 194507
khu công nghiệp đình hương	 id = 194508
khu công nghiệp bỉm sơn	 id = 194509
khu công nghiệp lam sơn	 id = 194510
khu công nghiệp nhơn trạch 1	 id = 194511
khu công nghiệp nhơn trạch 2	 id = 194512
khu công nghiệp nhơn trạch 3	 id = 194513
khu công nghiệp nhơn trạch 4	 id = 194514
khu công nghiệp nhơn trạch 5	 id = 194515
khu công nghiệp nhơn trạch 6	 id = 194516
khu công nghiệp dệt may	 id = 194517
kcn lộc an	 id = 194518
kcn long đức	 id = 194519
kcn ông kèo	 id = 194520
kcn long khánh	 id = 194521
kcn giang điền	 id = 194522
kcn dầu giây	 id = 194523
kcx tân thuận	 id = 194524
kcn hoàng mai	 id = 194525
kcn sông công	 id = 194526
kcn bình định	 id = 194527
kcn phú tài	 id = 194528
kcn long mỹ	 id = 194529
kcn nhơn hòa	 id = 194530
kcn hòa hội	 id = 194531
kcn phúc khánh	 id = 194532
kcn nguyễn đức cảnh	 id = 194533
kcn tiền phong	 id = 194534
kcn tiền hải	 id = 194535
kcn diêm điền	 id = 194536
kcn cầu nghìn	 id = 194537
kcn bắc vinh	 id = 194538
kcn nam cấm	 id = 194539
kcn cửa lò	 id = 194540
kcn phủ quỳ	 id = 194541
kcn lễ môn	 id = 194542
kcn đình hương	 id = 194543
kcn bỉm sơn	 id = 194544
kcn lam sơn	 id = 194545
kcn nhơn trạch 1	 id = 194546
kcn nhơn trạch 2	 id = 194547
kcn nhơn trạch 3	 id = 194548
kcn nhơn trạch 4	 id = 194549
kcn nhơn trạch 5	 id = 194550
kcn nhơn trạch 6	 id = 194551
kcn dệt may	 id = 194552
khu công nghiệp lộc sơn	 id = 194553
khu công nghiệp phú hội	 id = 194554
cụm công nghiệp tân phú	 id = 194555
cụm công nghiệp gia hiệp	 id = 194556
cụm công nghiệp tân châu	 id = 194557
cụm công nghiệp đinh văn	 id = 194558
cụm công nghiệp ka đô	 id = 194559
cụm công nghiệp lộc tiến	 id = 194560
cụm công nghiệp lộc thắng	 id = 194561
cụm công nghiệp lộc an	 id = 194562
cụm công nghiệp hà lâm	 id = 194563
cụm công nghiệp đạ tẻh	 id = 194564
cụm công nghiệp đức phổ	 id = 194565
cụm công nghiệp phát chi	 id = 194566
ccn phát chi	 id = 194567
ccn đức phổ	 id = 194568
ccn đạ tẻh	 id = 194569
ccn hà lâm	 id = 194570
ccn lộc an	 id = 194571
ccn lộc thắng	 id = 194572
ccn lộc tiến	 id = 194573
ccn ka đô	 id = 194574
ccn đình văn	 id = 194575
ccn tân châu	 id = 194576
ccn gia hiệp	 id = 194577
ccn tân phú	 id = 194578
kcn phú hội	 id = 194579
kcn lộc sơn	 id = 194580
khu công nghiệp quang minh	 id = 194581
khu công nghiệp kim hoa	 id = 194582
khu công nghiệp khai quang	 id = 194583
khu công nghiệp trung hà	 id = 194584
khu công nghiệp bắc phú cát	 id = 194585
khu công nghiệp lương sơn	 id = 194586
khu công nghiệp phố nối a	 id = 194587
khu công nghiệp phố nối b	 id = 194588
khu công nghiệp đồng văn	 id = 194589
khu công nghiệp sóng thần i	 id = 194590
khu công nghiệp sóng thần ii	 id = 194591
khu công nghiệp đồng an	 id = 194592
khu công nghiệp đồng an ii	 id = 194593
khu công nghiệp tân đồng hiệp a	 id = 194594
khu công nghiệp tân đồng hiệp b	 id = 194595
khu công nghiệp tân đồng hiệp	 id = 194596
khu công nghiệp dệt may bình an	 id = 194597
khu công nghiệp việt hương ii	 id = 194598
khu công nghiệp việt hương	 id = 194599
khu công nghiệp mỹ phước	 id = 194600
khu công nghiệp mai trung	 id = 194601
khu công nghiệp mỹ phước ii	 id = 194602
khu công nghiệp nam tân uyên	 id = 194603
khu công nghiệp rạch bắp	 id = 194604
khu chế xuất linh trung i	 id = 194605
khu công nghiệp cát lai ii	 id = 194606
khu công nghiệp tân bình	 id = 194607
khu công nghiệp tân thới hiệp	 id = 194608
khu công nghiệp lê minh xuân	 id = 194609
khu công nghiệp tây bắc củ chi	 id = 194610
khu công nghiệp hiệp phước	 id = 194611
khu công nghiệp vĩnh lộc	 id = 194612
khu công nghiệp tân phú trung	 id = 194613
khu công nghiệp sao mai	 id = 194614
khu công nghiệp chơn thành	 id = 194615
khu công nghiệp đức hòa i	 id = 194616
khu công nghiệp thuận đạo bến lực	 id = 194617
khu công nghiệp xuyên á	 id = 194618
khu công nghiệp vĩnh lộc ii	 id = 194619
khu công nghiệp tân đức	 id = 194620
khu công nghiệp long hậu	 id = 194621
khu công nghiệp sa đéc	 id = 194622
khu công nghiệp tân kim	 id = 194623
khu công nghiệp đức hòa iii	 id = 194624
khu công nghiệp trà đá	 id = 194625
khu công nghiệp tâm thắng	 id = 194626
khu chế xuất linh trung ii	 id = 194627
khu công nghiệp bình chiểu	 id = 194628
khu công nghiệp bình dương	 id = 194629
khu chế xuất linh trung iii	 id = 194630
khu công nghiệp hưng phú	 id = 194631
khu công nghiệp khánh an	 id = 194632
khu công nghiệp sông hậu	 id = 194633
khu công nghiệp nhơn trạch ii	 id = 194634
kcn nhơn trạch ii	 id = 194635
khu công nghiệp nhơn trạch iii	 id = 194636
kcn nhơn trạch iii	 id = 194637
khu công nghiệp nhơn trạch iv	 id = 194638
kcn nhơn trạch iv	 id = 194639
khu công nghiệp nhơn trạch v	 id = 194640
kcn nhơn trạch v	 id = 194641
khu công nghiệp nhơn trạch vi	 id = 194642
kcn nhơn trạch vi	 id = 194643
khu công nghiệp an nghiệp	 id = 194644
khu công nghiệp bình minh	 id = 194645
khu công nghiệp hòa phú	 id = 194646
khu công nghiệp tân hương	 id = 194647
khu công nghiệp mỹ tho	 id = 194648
khu công nghiệp phú mỹ ii	 id = 194649
khu công nghiệp mỹ xuân b1	 id = 194650
khu công nghiệp mỹ xuân a2	 id = 194651
khu công nghiệp cái mép	 id = 194652
khu công nghiệp phú mỹ i	 id = 194653
khu công nghiệp đông xuyên	 id = 194654
khu công nghiệp mỹ xuân a	 id = 194655
khu công nghiệp phước nam	 id = 194656
khu công nghiệp bàu xéo	 id = 194657
khu công nghiệp xuân lộc	 id = 194658
khu công nghiệp tân phú	 id = 194659
khu công nghiệp long thành	 id = 194660
khu công nghiệp tam phước	 id = 194661
khu công nghiệp đình quán	 id = 194662
khu công nghiệp hố nai	 id = 194663
khu công nghiệp song mây	 id = 194664
khu công nghiệp biên hòa i	 id = 194665
khu công nghiệp biên hòa ii	 id = 194666
khu công nghiệp loteco	 id = 194667
khu công nghiệp gò dầu	 id = 194668
khu công nghiệp suối dầu	 id = 194669
khu công nghiệp ninh thủy	 id = 194670
khu công nghiệp quảng phú	 id = 194671
khu công nghiệp tịnh phong	 id = 194672
khu công nghiệp điện nam điện ngọc	 id = 194673
khu công nghiệp nam đông hà	 id = 194674
khu công nghiệp mỹ trung	 id = 194675
khu công nghiệp hòa xá	 id = 194676
khu công nghiệp đồ sơn	 id = 194677
khu công nghiệp tân trường	 id = 194678
khu công nghiệp việt hòa kenmark	 id = 194679
khu công nghiệp phúc điền	 id = 194680
khu công nghiệp nam sách	 id = 194681
khu công nghiệp hải yên	 id = 194682
khu công nghiệp việt hưng	 id = 194683
khu công nghiệp cái lân	 id = 194684
khu công nghiệp nam thăng long	 id = 194685
khu công nghiệp đài tư	 id = 194686
khu công nghiệp nội bài	 id = 194687
khu công nghiệp sài đồng b	 id = 194688
khu công nghiệp thanh bình	 id = 194689
cụm công nghiệp hà bình phương	 id = 194690
khu công nghiệp amata	 id = 194691
kcn amata	 id = 194692
ccn hà bình phương	 id = 194693
kcn thanh bình	 id = 194694
kcn sài đồng b	 id = 194695
kcn nội bài	 id = 194696
kcn đài tư	 id = 194697
khu công nghiệp hà nội đài tư	 id = 194698
kcn hà nội đài tư	 id = 194699
kcn nam thăng long	 id = 194700
kcn cái lân	 id = 194701
kcn hải yên	 id = 194702
kcn nam sách	 id = 194703
kcn phúc điền	 id = 194704
kcn việt hòa kenamrk	 id = 194705
kcn tân trường	 id = 194706
kcn đồ sơn	 id = 194707
kcn hòa xá	 id = 194708
kcn mỹ trung	 id = 194709
