tây á	 id = 195322
Saint Lucia	 id = 196957
Saint Vincent và Grenadines	 id = 196958
Samoa	 id = 196959
Seychelles	 id = 196960
Solomon	 id = 196961
Somaliland	 id = 196962
Transnistria	 id = 196963
Tuvalu	 id = 196964
quần đảo Trường Sa	 id = 195670
quần đảo Canaria	 id = 195727
quần đảo Canary	 id = 195728
quần đảo Sandwich	 id = 195789
quần đảo Galápagos	 id = 196074
đảo Galápagos	 id = 196075
quần đảo Galapagos	 id = 196076
đảo Galapagos	 id = 196965
quần đảo Nansei	 id = 196082
quần đảo Ryukyu	 id = 196394
quần đảo Senkaku	 id = 196313
quần đảo Điếu Ngư Đài	 id = 196315
quần đảo Hawaii	 id = 196336
quần đảo Nam Du	 id = 196444
quần đảo Thổ Châu	 id = 196353
quần đảo cây cọ	 id = 196480
quần đảo Balears	 id = 196496
quần đảo Balear	 id = 196498
quần đảo Balearic	 id = 196497
quần đảo Bắc Mariana	 id = 196613
quần đảo Mariana	 id = 196614
quần đảo Lưu Cầu	 id = 196640
quần đảo Thiên nga	 id = 196621
quần đảo Swan	 id = 196623
quần đảo faroe	 id = 196966
Faroe	 id = 196967
sông Thames	 id = 196576
Saint Étienne	 id = 196968
St Etienne	 id = 196969
Saint Etienne	 id = 196970
Modena	 id = 183664
Jeju	 id = 196971
Mônacô	 id = 196972
Osaka	 id = 182298
Disneyland	 id = 196973
Vê-nê-xu-ê-la	 id = 196974
mianma	 id = 196975
La Ha-ba-na	 id = 196976
Cô-lôm-bi-a	 id = 196977
la ha ba na	 id = 196978
xứ sở hoa anh đào	 id = 196979
xứ mặt trời mọc	 id = 196980
đất nước mặt trời mọc	 id = 196981
đền Taj Mahal	 id = 196982
látvia	 id = 196983
thác Victoria	 id = 196296
Chân Trâu Cảng	 id = 196984
thành troy	 id = 196985
tháp Eiffel	 id = 195732
Bulgari	 id = 181681
San Diego	 id = 196986
phi líp pin	 id = 196987
đất nước chùa tháp	 id = 196988
Phnom Pênh	 id = 196989
Siem Riep	 id = 196990
nauy	 id = 196991
Helsingborg	 id = 196992
Bulgary	 id = 196993
xứ nhân sâm	 id = 196994
I-ta-li-a	 id = 196995
áp ga ni xtan	 id = 196996
ô-xtrây-li-a	 id = 196997
ô xtrây li a	 id = 196998
bêlarút	 id = 196999
ốt-xtrây-li-a	 id = 197000
ốt xtrây li a	 id = 197001
xin ga po	 id = 197002
CHXHCN VN	 id = 197003
mozambic	 id = 197004
Bethlehem	 id = 197005
côoét	 id = 197006
cô oét	 id = 197007
kô oét	 id = 197008
hunggari	 id = 197009
cung điện potala	 id = 197010
cung potala	 id = 197011
cộng hòa síp	 id = 197012
cộng hòa cyprus	 id = 197013
cộng hoà kypros	 id = 197014
teheran	 id = 197015
philippin	 id = 197016
Pêru	 id = 197017
quận Cam	 id = 195672
ảrập	 id = 197018
Abu Ghraib	 id = 197019
nhà tù abu ghraib	 id = 197020
cung điện westminster	 id = 196432
trụ sở quốc hội hoa kỳ	 id = 197021
tòa nhà quốc hội mỹ	 id = 197022
tòa nhà quốc hội hoa kỳ	 id = 197023
điện capitol	 id = 197024
điện capitơn	 id = 197025
nhà quốc hội mỹ	 id = 197026
trụ sở quốc hội mỹ	 id = 197027
Áchentina	 id = 197028
Ác hen ti na	 id = 197029
Ấn độ	 id = 195563
chô mô lung ma	 id = 197030
đỉnh núi everest	 id = 197031
đỉnh everest	 id = 197032
ngọn everest	 id = 197033
núi everest	 id = 197034
sân bay heathrow	 id = 197035
sân bay heathrow london	 id = 197036
Heathrow	 id = 197037
sân vận động wembley	 id = 197038
sân wembley	 id = 197039
thánh địa wembley	 id = 197040
Wembley	 id = 197041
SVĐ Wembley	 id = 197042
St James's Park	 id = 197043
St James s Park	 id = 197044
st james park	 id = 197045
Pê-ru	 id = 197046
Chi-lê	 id = 197047
Mont Blanc	 id = 179513
Sungnyemun	 id = 197048
Namdaemun	 id = 197049
Sùng Lễ Môn	 id = 197050
New South Wales	 id = 197051
arập	 id = 197052
arập xêút	 id = 197053
tiểu vương quốc arập thống nhất	 id = 197054
arập saudi	 id = 197055
Miến Điện	 id = 197056
miến điện	 id = 197056
các tiểu vương quốc arập	 id = 197057
các tiểu vương quốc ả rập	 id = 197058
mêhicô	 id = 197059
mêxicô	 id = 197060
pa-ki-xtan	 id = 197061
pa ki xtan	 id = 197062
bru nây	 id = 197063
Gottlieb-Daimler	 id = 197064
Gottlieb Daimler	 id = 197065
sân bay quốc tế john f kennedy	 id = 197066
sân bay quốc tế kennedy	 id = 197067
sân bay kennedy	 id = 197068
sân bay quốc tế john kennedy	 id = 197069
sân bay quốc tế j f kennedy	 id = 197070
sân bay j f kennedy	 id = 197071
Trinidad	 id = 197072
trung tâm vũ trụ kennedy	 id = 197073
sân bay jfk	 id = 197074
trung tâm không gian kennedy	 id = 197075
sông seine	 id = 197076
sông Xen	 id = 197077
Sông Xen	 id = 197077
nhà hát kodak	 id = 197078
đấu trường colosseum	 id = 197079
đấu trường côlidê	 id = 197080
đấu trường la mã	 id = 197081
tháp nghiêng piza	 id = 197082
tháp nghiêng pisa	 id = 196117
tòa thánh vatican	 id = 197083
u crai na	 id = 197084
lăng lê nin	 id = 197085
lăng lênin	 id = 197086
lăng lenin	 id = 195999
lăng le nin	 id = 197087
st petersburg	 id = 197088
bắc ai len	 id = 197089
White Hart Lane	 id = 197090
SVĐ White Hart Lane	 id = 197091
Manhattan	 id = 180860
nhà hát opera sydney	 id = 197092
Sydney Opera House	 id = 197093
Opera Sydney	 id = 197094
nhà hát sydney	 id = 197095
Bologna	 id = 197096
cô xô vô	 id = 197097
côxôvô	 id = 197098
xécbia	 id = 197099
xéc bi a	 id = 197100
xít ni	 id = 197101
êcuađo	 id = 197102
êcuado	 id = 197103
Oakland	 id = 197104
ki ô tô	 id = 197105
Hi Lạp	 id = 197106
nước Anh	 id = 195674
ma rốc	 id = 197107
Tôgô	 id = 197108
Aicập	 id = 197109
Baranh	 id = 197110
Băng-cốc	 id = 197111
Băng Cốc	 id = 197112
Thái-lan	 id = 197113
Bốtxoana	 id = 197114
Môdămbích	 id = 197115
Lêxôthô	 id = 197116
Zimbabue	 id = 197117
Dămbia	 id = 197118
Palextin	 id = 197119
cămpuchia	 id = 197120
Gioócđani	 id = 197121
gioóc đa ni	 id = 197122
joocđani	 id = 197123
San Antonio	 id = 197124
Brunây	 id = 197125
angiêri	 id = 197126
An giê ri	 id = 197127
An-giê	 id = 197128
jordani	 id = 197129
Li-băng	 id = 197130
Libêria	 id = 197131
Gana	 id = 197132
Vênêxuêla	 id = 197133
Dallas	 id = 197134
trung cận đông	 id = 195568
Joachim Low	 id = 197135
Antigua	 id = 197136
Reykjavik	 id = 197137
Phi châu	 id = 197138
Phi Châu	 id = 197138
St Vincent	 id = 197139
Saint Vincent	 id = 197140
Nam Ossetia	 id = 197141
Bắc Ossetia	 id = 197142
Chi Lê	 id = 197143
Jămbia	 id = 197144
đảo java	 id = 197145
băng la đét	 id = 197146
Môn đô va	 id = 197147
Mônđôva	 id = 197148
Ô xa ca	 id = 197149
Séc	 id = 197150
oasinhtơn	 id = 197151
bucarét	 id = 197152
bucarest	 id = 197153
ápganixtan	 id = 197154
Darfur	 id = 197155
béc lin	 id = 197156
ốtxtrâylia	 id = 197157
kênh đào suez	 id = 195962
kênh Suez	 id = 196123
kênh đào Suê	 id = 196272
bê la rút	 id = 197158
Bun ga ri	 id = 197159
Bosnia Herzegovina	 id = 197160
Bôxnia Hécxêgôvina	 id = 197161
tiểu vùng Mê Công	 id = 197162
tiểu vùng mê kông	 id = 197163
tiểu vùng mê công	 id = 197162
niu di lân	 id = 197164
newzeland	 id = 197165
niu dilân	 id = 197166
tiểu vùng sông mekong	 id = 197167
tiểu vùng sông mê công	 id = 197168
tiểu vùng sông mêcông	 id = 197169
tiểu vùng mekong	 id = 197170
ăng gô la	 id = 197171
ănggôla	 id = 197172
an gô la	 id = 197173
thiếu lâm tự	 id = 195960
Mô dăm bích	 id = 197174
Bôlivia	 id = 197175
Cu Ba	 id = 197176
can na đa	 id = 197177
Dimbabuê	 id = 197178
hồ Victoria	 id = 196504
vườn treo babylon	 id = 197179
vườn treo babylone	 id = 197180
Bronx	 id = 197181
Ca-ta	 id = 197182
oa sinh tơn	 id = 197183
Ru-ma-ni	 id = 197184
Bu-ca-rét	 id = 197185
kê ni a	 id = 197186
kênia	 id = 197187
lăng mộ Tần Thủy Hoàng	 id = 196092
lăng Tần Thủy Hoàng	 id = 196093
Bằng Tường	 id = 197188
băngcốc	 id = 197189
quảng trường thời đại	 id = 197190
Xlôvênia	 id = 197191
Adécbaigian	 id = 197192
Tuốcmênixtan	 id = 197193
Monte Carlo	 id = 197194
Antwerp	 id = 197195
Mönchengladbach	 id = 197196
Monchengladbach	 id = 197197
xứ hàn	 id = 197198
Kirghizistan	 id = 197199
Kyrgystan	 id = 197200
Edinburg	 id = 197201
Ca-na-đa	 id = 197202
Xtốckhôm	 id = 197203
Xích Bích	 id = 197204
cộng hòa dominicana	 id = 197205
cộng hòa dominican	 id = 197206
cộng hòa đôminicana	 id = 197207
cộng hòa dominica	 id = 197208
cộng hòa đô-mi-ni-ca	 id = 197209
Đôminicana	 id = 197210
Basel	 id = 197211
xứ sở hoa tulip	 id = 197212
xứ sở hoa tuy lip	 id = 197213
xứ sở hoa tuylip	 id = 197214
xứ sở hoa tu líp	 id = 197215
Montreál	 id = 197216
Loew	 id = 197217
xứ sở mì ống	 id = 197218
xứ sở mỳ ống	 id = 197219
xứ mỳ ống	 id = 197220
xứ mì ống	 id = 197221
xứ bò tót	 id = 197222
goa tê ma la	 id = 197223
trung tâm thương mại thế giới	 id = 197224
Santa Barbara	 id = 197225
BĐN	 id = 197226
TNK	 id = 185838
thổ nhĩ kì	 id = 197227
I-ran	 id = 197228
tê hê ran	 id = 197229
Miami	 id = 197230
Nashville	 id = 197231
philippine	 id = 197232
Astrakhan	 id = 191775
sông volga	 id = 195928
parc des princes	 id = 197233
công viên các hoàng tử	 id = 197234
đảo guam	 id = 197235
băngla đét	 id = 197236
bănglađét	 id = 197237
Iănggun	 id = 197238
Iangun	 id = 197239
vạn lý trường thành	 id = 195838
Gru di a	 id = 197240
nam ô xê ti a	 id = 197241
tbi li xi	 id = 197242
Tskhinvali	 id = 197243
xkhin va li	 id = 197244
bắc ô xê ti a	 id = 197245
Hull	 id = 197246
yorkshire	 id = 197247
áp kha di a	 id = 197248
ca dắc xtan	 id = 197249
u dơ bê ki xtan	 id = 197250
tátgikixtan	 id = 197251
tát gi ki xtan	 id = 197252
tuốc mê ni xtan	 id = 197253
tuôcmênixtan	 id = 197254
westminster	 id = 184734
thailand	 id = 197255
Dusseldorf	 id = 197256
Darwin	 id = 197257
Preah Vihear	 id = 197258
đền preah vihear	 id = 197259
Preach Vihear	 id = 197260
đền preach vihear	 id = 197261
JJB	 id = 197262
Chukotka	 id = 197263
brasil	 id = 197264
vương quốc anh	 id = 197265
Anh Cát Lợi	 id = 197266
ni-giê-ri-a	 id = 197267
ni giê ri a	 id = 197268
wall street	 id = 181065
kaiserslautern	 id = 197269
công gô	 id = 197270
ê cu a đo	 id = 197271
quận cam	 id = 195672
quận orange	 id = 197272
quận orangiơ	 id = 197273
haiiti	 id = 197274
Balan	 id = 197275
Ba lan	 id = 195587
Lincolnshire	 id = 197276
Đại Lý	 id = 197277
ngọc long tuyết sơn	 id = 197278
savannakhet	 id = 197279
dãy núi himalaya	 id = 197280
dãy himalaya	 id = 197281
dãy hy mã lạp sơn	 id = 197282
rajamangala	 id = 197283
mạc tư khoa	 id = 197284
Xri Lanca	 id = 197285
cầu cổng vàng	 id = 195876
Golden Gate Bridge	 id = 197286
kim tự tháp giza	 id = 197287
Chichen Itza	 id = 197288
tháp giza	 id = 197289
Liban	 id = 195619
tô ky ô	 id = 197290
Davos	 id = 197291
Tasmania	 id = 197292
Cửu Trại Câu	 id = 197293
nhà hát bolshoi	 id = 197294
Angkor	 id = 197295
Kaliningrad	 id = 197296
Argentine	 id = 197297
Serbi	 id = 197298
Palm Beach	 id = 197299
Naples	 id = 197300
Normandy	 id = 197301
Normandie	 id = 197302
sepang	 id = 197303
The Kop	 id = 197304
Irvine	 id = 197305
Essex	 id = 187806
L'Aquila	 id = 197306
L Aquila	 id = 197307
pạt tay a	 id = 197308
nhà hát của những giấc mơ	 id = 197309
ảrập xê út	 id = 197310
cộng hòa dcnd lào	 id = 197311
viêngchăn	 id = 197312
Viên Chăn	 id = 197313
Viên chăn	 id = 197313
Upton Park	 id = 197314
tô ki ô	 id = 197315
virgin islands	 id = 197316
himalayas	 id = 197317
vịnh phang nga	 id = 196557
kinabalu	 id = 197318
kinabaru	 id = 197319
chomolungma	 id = 197320
Island Peak	 id = 197321
Sardinia	 id = 197322
la maddalena	 id = 197323
đảo corse	 id = 197324
Alkmaar	 id = 197325
Jordanie	 id = 197326
biển chết	 id = 195764
Pétra	 id = 197327
biển caspi	 id = 196327
biển caxpi	 id = 197328
biển caspia	 id = 197329
biển caspian	 id = 197330
goan-ta-na-mô	 id = 197331
guan-ta-na-mô	 id = 197332
Malibu	 id = 191423
ôn-đu-rát	 id = 197333
ônđurát	 id = 197334
Neverland Ranch	 id = 197335
Oxfordshire	 id = 197336
Wiltshire	 id = 197337
Ürümqi	 id = 197338
Urumqi	 id = 197339
Urumchi	 id = 197340
Ô Lỗ Mộc Tề	 id = 197341
cộng hòa a rập ai cập	 id = 197342
bô-li-vi-a	 id = 197343
vịnh mexico	 id = 197344
Inonu	 id = 197345
Bắc Á	 id = 197346
phillipines	 id = 197347
phillippines	 id = 197348
Timor Leste	 id = 197349
bán đảo iberia	 id = 197350
Martinique	 id = 197351
Afganistan	 id = 197352
Giang Nam	 id = 197353
Kalimantan	 id = 197354
Santa Clara	 id = 197355
Granada	 id = 197356
Alhambra	 id = 197357
Tam Sa	 id = 197358
Tây Sa	 id = 189831
China	 id = 197359
st peterburg	 id = 197360
Bắc Caucasus	 id = 197361
Caucasus	 id = 197362
hawai	 id = 197363
nước tiểu vùng mê công	 id = 197364
nước tiểu vùng mê kông	 id = 197365
bắc cápcadơ	 id = 197366
cápcadơ	 id = 197367
kavkaz	 id = 197368
bắc kavkaz	 id = 197369
belfast	 id = 197370
swansea	 id = 197371
Royal Albert	 id = 197372
sông hoàng hà	 id = 197373
sông dương tử	 id = 195687
sông trường giang	 id = 195774
Ninh Chữ	 id = 197374
Smolensk	 id = 197375
đập tam hiệp	 id = 196700
xứ đài	 id = 197376
Oberhausen	 id = 197377
Bellagio	 id = 180933
hongkong	 id = 197378
Savanakhet	 id = 197379
Genève	 id = 197380
Geneve	 id = 182305
cộng hoà dân chủ đức	 id = 197381
Đường Sơn	 id = 197382
Brooklyn	 id = 197383
yeonpyeong	 id = 197384
st barts	 id = 197385
Saint Barthélemy	 id = 197386
bắc thăng long	 id = 197387
chùa tảo sách	 id = 197388
chùa linh sơn tự	 id = 197389
Domodedovo	 id = 197390
Stavropol	 id = 197391
cộng hòa dagestan	 id = 197392
Dagestan	 id = 197393
cộng hòa chechnya	 id = 197394
Bảo Chi Lâm	 id = 197395
Goodison Park	 id = 197396
las vegas sands	 id = 197397
marina bay sands	 id = 197398
resorts world sentosa	 id = 197399
Fukushima	 id = 197400
Sakhalin	 id = 197401
rikuzentakata	 id = 197402
minamisanriku	 id = 197403
Ojika	 id = 197404
Orlando	 id = 197405
onagawa	 id = 197406
cote d ivoire	 id = 197407
côte d ivoire	 id = 197408
bückeburg	 id = 197409
Buckeburg	 id = 197410
Bueckeburg	 id = 197411
đập xayaburi	 id = 197412
xayaburi	 id = 197413
sayabouri	 id = 197414
tu viện westminster	 id = 197415
cung điện buckingham	 id = 197416
đại lộ the mall	 id = 197417
điện buckingham	 id = 197418
MGM Grand	 id = 197419
santorini	 id = 197420
eo biển đài loan	 id = 197421
hàm cốc quan	 id = 197422
ô sa ca	 id = 197423
british virgin island	 id = 197424
virgin island	 id = 197425
mandalay bay	 id = 197426
utoeya	 id = 197427
chùa thiếu lâm	 id = 197428
